model_id,model_slug,size_slug,ollama_ref,target_lane,provider_plan_id,pilot_menu_band,pilot_candidate_chain,system_ram_gb,included_ssd_gb,accelerator_present,gpu_model,gpu_vram_gb,model_minimum_ram_gb,model_minimum_disk_free_gb,model_minimum_vram_gb,ram_gate,disk_capacity_gate,gpu_vram_gate,compatibility_status,runtime_model_test_required,source_paths
alfred-40b,alfred,40b1023-q50,alfred:40b-1023-q5_0,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,40b1023-q50,alfred:40b-1023-q5_0,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,40b1023-q51,alfred:40b-1023-q5_1,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,40b1023-q51,alfred:40b-1023-q5_1,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,40b1023-q51,alfred:40b-1023-q5_1,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,40b1023-q80,alfred:40b-1023-q8_0,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,40b1023-q80,alfred:40b-1023-q8_0,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,40b1023-q80,alfred:40b-1023-q8_0,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,latest,alfred:latest,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,latest,alfred:latest,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,latest,alfred:latest,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-33m,all-minilm,33m,all-minilm:33m,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-33m,all-minilm,33m,all-minilm:33m,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-33m,all-minilm,33m,all-minilm:33m,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-33m,all-minilm,33m-l12-v2-fp16,all-minilm:33m-l12-v2-fp16,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-33m,all-minilm,33m-l12-v2-fp16,all-minilm:33m-l12-v2-fp16,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-33m,all-minilm,33m-l12-v2-fp16,all-minilm:33m-l12-v2-fp16,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,22m,all-minilm:22m,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,22m,all-minilm:22m,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,22m,all-minilm:22m,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,22m-l6-v2-fp16,all-minilm:22m-l6-v2-fp16,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,22m-l6-v2-fp16,all-minilm:22m-l6-v2-fp16,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,22m-l6-v2-fp16,all-minilm:22m-l6-v2-fp16,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-33m,all-minilm,l12,all-minilm:l12,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-33m,all-minilm,l12,all-minilm:l12,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-33m,all-minilm,l12,all-minilm:l12,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-33m,all-minilm,l12-v2,all-minilm:l12-v2,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-33m,all-minilm,l12-v2,all-minilm:l12-v2,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-33m,all-minilm,l12-v2,all-minilm:l12-v2,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,l6,all-minilm:l6,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,l6,all-minilm:l6,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,l6,all-minilm:l6,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,l6-v2,all-minilm:l6-v2,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,l6-v2,all-minilm:l6-v2,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,l6-v2,all-minilm:l6-v2,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,latest,all-minilm:latest,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,latest,all-minilm:latest,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,latest,all-minilm:latest,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,v2,all-minilm:v2,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,v2,all-minilm:v2,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
all-minilm-22m,all-minilm,v2,all-minilm:v2,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
athene-v2-72b,athene-v2,72b,athene-v2:72b,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
athene-v2-72b,athene-v2,72b,athene-v2:72b,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
athene-v2-72b,athene-v2,72b,athene-v2:72b,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
athene-v2-72b,athene-v2,72b-fp16,athene-v2:72b-fp16,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
athene-v2-72b,athene-v2,72b-fp16,athene-v2:72b-fp16,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
athene-v2-72b,athene-v2,72b-fp16,athene-v2:72b-fp16,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
athene-v2-72b,athene-v2,72b-q2-k,athene-v2:72b-q2_K,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
athene-v2-72b,athene-v2,72b-q2-k,athene-v2:72b-q2_K,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
athene-v2-72b,athene-v2,72b-q2-k,athene-v2:72b-q2_K,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
athene-v2-72b,athene-v2,72b-q3-k-l,athene-v2:72b-q3_K_L,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
athene-v2-72b,athene-v2,72b-q3-k-l,athene-v2:72b-q3_K_L,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
